1PC9dYGouFM5u2ndw1DiZzHpXzjsrjKPis -> totalcnt: 104, realcnt: 29, vericnt: 29, maxBias: 1, maxCnt: 0, rfound: False
1169y8NLobqXvnHVM2bL2Ucsb4c5ycZTop -> totalcnt: 731, realcnt: 131, vericnt: 131, maxBias: 9, maxCnt: 2, rfound: False
1toxJVZwfWakHY64nk8a4RWGNKdcwMsTW -> totalcnt: 53, realcnt: 14, vericnt: 14, maxBias: 1, maxCnt: 0, rfound: False
15eRn8Foj3MWKYFaqyrkgqxZh7M6LpMGi5 -> totalcnt: 32, realcnt: 7, vericnt: 7, maxBias: 1, maxCnt: 0, rfound: False
19sH2fvCM9CYWZdEMtBDKLFwFxe4YPNMQW -> totalcnt: 125, realcnt: 37, vericnt: 37, maxBias: 9, maxCnt: 1, rfound: False
1FTDuVGZrmXy2BMAKmV122U9pmcUvViZrM -> totalcnt: 121, realcnt: 39, vericnt: 39, maxBias: 9, maxCnt: 1, rfound: False
183w1Svd3tXZ9h5Yhzcrgbj8zKUQry5Zaq -> totalcnt: 46, realcnt: 11, vericnt: 11, maxBias: 1, maxCnt: 0, rfound: False
1Bqs7YE5GG842bbQ9sLdSGSGs28y4uXTiD -> totalcnt: 178, realcnt: 41, vericnt: 41, maxBias: 9, maxCnt: 1, rfound: False
13LHERJ7qkiVddUKa7dakixtsnDgfaJJ5t -> totalcnt: 156, realcnt: 35, vericnt: 34, maxBias: 1, maxCnt: 0, rfound: False
1JmxxqL1vD7mihKzD13E9BCorgwbRqNeuT -> totalcnt: 110, realcnt: 21, vericnt: 21, maxBias: 1, maxCnt: 0, rfound: False
17EnHqWTv8xrpvvSvPeDFvy22U2dkRCPJc -> totalcnt: 421, realcnt: 113, vericnt: 110, maxBias: 9, maxCnt: 1, rfound: False
1PzX9qWaFaALz4yaEth5HW9zcUrdbFn11i -> totalcnt: 136, realcnt: 36, vericnt: 36, maxBias: 1, maxCnt: 0, rfound: False
1JvKSdqL5hx8gdffmy2egcrnPNBZSwgj9W -> totalcnt: 823, realcnt: 215, vericnt: 213, maxBias: 9, maxCnt: 2, rfound: False
1LGhpi3GwxTZht6jhMSuDstqDa25i6fh6C -> totalcnt: 52, realcnt: 17, vericnt: 17, maxBias: 1, maxCnt: 0, rfound: False
19iBLpzFMp9Ay4zgm4WuHaWjLfxnRpJk7u -> totalcnt: 94, realcnt: 20, vericnt: 20, maxBias: 9, maxCnt: 1, rfound: False
