1J461dxSCoJSY77Zfp6WmXodbmFMM6F68R -> totalcnt: 526, realcnt: 36, vericnt: 36, maxBias: 9, maxCnt: 1, rfound: False
1EZHQxBro78RDhjsmD6mqWmyogkoQcYr9G -> totalcnt: 194, realcnt: 54, vericnt: 54, maxBias: 1, maxCnt: 0, rfound: False
1FscP2zeHQyp11d3mpogQHvp5f2AxNFxhe -> totalcnt: 92, realcnt: 31, vericnt: 31, maxBias: 1, maxCnt: 0, rfound: False
15hojRPfdUYvb9T36nJWicCi3d5jD2S9dN -> totalcnt: 157, realcnt: 5, vericnt: 5, maxBias: 1, maxCnt: 0, rfound: False
1H6Cr5BQMm8YLNrBpHXaxpJX4h4HP5psgL -> totalcnt: 25, realcnt: 3, vericnt: 3, maxBias: 1, maxCnt: 0, rfound: False
1CtSxTkNrhNVD5JHaHbnQQ7hWLxDvonP7B -> totalcnt: 120, realcnt: 36, vericnt: 34, maxBias: 9, maxCnt: 2, rfound: False
13hxvShVxeC3ZojvA4EDHu6jFhwWTYLf3z -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
14dPCj5CQcW4HBaNRPp96oyqt5oukjZzcb -> totalcnt: 2, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1KtBJTggjijy4EEW85RqnVifyeCxGEBjtF -> totalcnt: 51, realcnt: 12, vericnt: 12, maxBias: 1, maxCnt: 0, rfound: False
19z9PxDEZMBhukTfW7G6EeMS59XNMjEBZi -> totalcnt: 110, realcnt: 27, vericnt: 26, maxBias: 1, maxCnt: 0, rfound: False
1K9dB922GxruAmxaPPyh1P3xxD44SPqKWq -> totalcnt: 102, realcnt: 13, vericnt: 13, maxBias: 1, maxCnt: 0, rfound: False
1ArfW56WTJ28KeqrsJUm6UfHDcELQXEtF3 -> totalcnt: 66, realcnt: 5, vericnt: 5, maxBias: 1, maxCnt: 0, rfound: False
19kZCN3Eqzhoicx2TZnDxr9cGQv3KohFBT -> totalcnt: 132, realcnt: 14, vericnt: 14, maxBias: 1, maxCnt: 0, rfound: False
1m8VEFKGW7hKcDeJy8HGQUrrW8pr8uaqa -> totalcnt: 113, realcnt: 27, vericnt: 27, maxBias: 1, maxCnt: 0, rfound: False
1DWTPqcy4Fj43cswQJcTdM7USKZ8qV5gvD -> totalcnt: 14, realcnt: 3, vericnt: 2, maxBias: 1, maxCnt: 0, rfound: False
13kq3JsH7kw6u6icKmwePHkexHs5UrabF9 -> totalcnt: 309, realcnt: 75, vericnt: 74, maxBias: 1, maxCnt: 0, rfound: False
19CUVYpY3P37YuHeX2Pno1BpYXXT16bW86 -> totalcnt: 1, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1Q8CHsawkGinAD7QJMYmXupGnHWMU3E1sq -> totalcnt: 29, realcnt: 2, vericnt: 2, maxBias: 1, maxCnt: 0, rfound: False
1GgL1EYafEo9NH3etFRnpfZXqtRpCzz5XQ -> totalcnt: 256, realcnt: 77, vericnt: 75, maxBias: 1, maxCnt: 0, rfound: False
1F2gCczUn82BRbNBfKkyiCmbBnZ72M3hos -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
16D1sDbpFNWKa98v25a4m9C8SDowBBcwQJ -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
12W8h3KH1Gq925xuJFAHrsc3o4vhiURwBi -> totalcnt: 217, realcnt: 52, vericnt: 52, maxBias: 9, maxCnt: 1, rfound: False
1CpwVRUTmTcRPka7q6A7E3fwTHrU5QX4Z4 -> totalcnt: 22, realcnt: 2, vericnt: 2, maxBias: 1, maxCnt: 0, rfound: False
1BLtXRCNEzvV5aZf7Q2Zy7VGGV9yiMmtcV -> totalcnt: 31, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
19YyZMs1oCF8LprERe15hLw3bcyXqjeJUb -> totalcnt: 126, realcnt: 38, vericnt: 38, maxBias: 9, maxCnt: 1, rfound: False
1BLERRcBbsd5cSRWajSwXPZgFHn4bDTHCg -> totalcnt: 147, realcnt: 20, vericnt: 19, maxBias: 1, maxCnt: 0, rfound: False
15sWHcwagQcjsdkEMEmJod8n88RQuEpaFB -> totalcnt: 38, realcnt: 12, vericnt: 12, maxBias: 1, maxCnt: 0, rfound: False
17gHPconrhA484rMj3VwVu7GvsEPdkBZpU -> totalcnt: 434, realcnt: 107, vericnt: 105, maxBias: 9, maxCnt: 2, rfound: False
1JSGjMcK6Mpsoj2dbruaMbMPPXeL1SNXjd -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1CaEk3V8BeMWEVBGkkcptzAvJe8SJ4KFEe -> totalcnt: 40, realcnt: 9, vericnt: 9, maxBias: 1, maxCnt: 0, rfound: False
1Nwd3pwC1RfcCFxJgKQEu3hdpsFQdtFSih -> totalcnt: 70, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1HgYqRJFw6fFDHwRgnJVVMJcDQb8pbkAwH -> totalcnt: 1, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1JVx1uxegC2uaL2qbnfaKBAbEjgraG2aUE -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1HRf1zVueCLP322Disb2BGQff1i8FZi36c -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1iaqG9f7w3LDiUiwjJqLP34u3untvrMqF -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1HuARR2MwFqfGiNZmY9fDvBKMF5zbjrVa1 -> totalcnt: 39, realcnt: 9, vericnt: 9, maxBias: 1, maxCnt: 0, rfound: False
1G97HE6iHLDCow2vDC5iCay7oiA16QeJ3A -> totalcnt: 97, realcnt: 22, vericnt: 22, maxBias: 1, maxCnt: 0, rfound: False
1KbpmEchW9WopUfi1S497TMV9MZyFJVan7 -> totalcnt: 116, realcnt: 29, vericnt: 28, maxBias: 9, maxCnt: 1, rfound: False
16p4zhTCZL9yPVki7Uz7CPbxjCuAHxfEcd -> totalcnt: 40, realcnt: 8, vericnt: 8, maxBias: 1, maxCnt: 0, rfound: False
1FHDCutTkW8jMs68jJ7ANa6WmJCQCRMwH9 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
14C4p5Qi2wEtKo8Jv71ahTyNU5qBFaZo5P -> totalcnt: 3, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
14DdT4DfABXtzNSTCRqDWCh7KGtH98n3f7 -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
1FQt1encns313ctwVzkAh7VqoecsX8irTZ -> totalcnt: 0, realcnt: 0, vericnt: 0, maxBias: 0, maxCnt: 0, rfound: False
